ano,mes,data,regiao,uf,cidade,pm25,pm10,no2,co,o3,temperatura_media,umidade,indice_qualidade_ar,nivel_qualidade
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,32.83,53.16,16.69,0.47,26.82,26.3,44.5,53.46,Moderada
2015,1,2015-01-01,Sudeste,SP,São Paulo,34.13,49.35,38.6,0.64,27.27,21.0,81.0,60.57,Moderada
2015,1,2015-01-01,Sudeste,SP,Campinas,33.25,54.28,20.9,0.53,44.59,30.0,56.6,57.38,Moderada
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,30.06,46.4,28.59,1.18,37.91,23.8,49.8,59.05,Moderada
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,33.62,67.67,35.68,1.64,38.54,24.6,84.0,73.11,Moderada
2015,1,2015-01-01,Sudeste,RJ,Niterói,34.72,57.38,24.98,0.76,37.51,24.6,42.7,61.71,Moderada
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,27.46,64.17,17.72,1.13,58.1,26.3,47.8,60.08,Moderada
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,33.03,52.32,28.97,1.04,35.6,25.6,50.3,61.91,Moderada
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,43.03,83.49,18.56,1.44,45.35,21.4,80.4,80.31,Ruim
2015,1,2015-01-01,Sudeste,MG,Uberlândia,41.73,73.67,15.16,0.57,40.96,28.4,41.8,68.44,Moderada
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,35.86,61.84,13.83,0.7,46.86,29.1,66.7,61.5,Moderada
2015,1,2015-01-01,Sudeste,ES,Vitória,35.61,75.24,31.94,1.22,47.26,27.8,56.2,73.29,Moderada
2015,1,2015-01-01,Sudeste,ES,Vila Velha,34.67,61.08,26.87,0.37,45.62,23.3,69.7,60.71,Moderada
2015,1,2015-01-01,Sudeste,ES,Serra,25.5,54.93,29.54,0.79,20.52,20.8,74.4,52.44,Moderada
2015,1,2015-01-01,Sul,PR,Curitiba,39.56,61.67,35.41,1.36,39.47,28.3,92.3,74.71,Moderada
2015,1,2015-01-01,Sul,PR,Londrina,35.59,84.56,26.51,0.92,50.29,25.4,75.0,72.16,Moderada
2015,1,2015-01-01,Sul,SC,Florianópolis,50.78,102.42,44.01,1.03,45.43,26.4,91.9,95.08,Ruim
2015,1,2015-01-01,Sul,SC,Joinville,50.72,89.68,32.74,1.72,33.88,27.4,47.8,93.38,Ruim
2015,1,2015-01-01,Sul,RS,Porto Alegre,38.05,60.45,5.89,0.62,42.84,22.7,65.6,60.09,Moderada
2015,1,2015-01-01,Sul,RS,Caxias do Sul,21.3,26.02,35.99,0.4,43.69,22.4,58.3,42.23,Boa
2015,2,2015-02-01,Norte,AM,Manaus,32.52,50.26,21.41,1.67,49.54,20.3,78.0,65.49,Moderada
2015,2,2015-02-01,Norte,PA,Belém,38.56,56.52,29.51,1.31,45.39,29.9,79.0,71.2,Moderada
2015,2,2015-02-01,Norte,PA,Santarém,33.91,63.81,33.07,1.39,30.68,26.7,71.3,68.89,Moderada
2015,2,2015-02-01,Norte,RO,Porto Velho,40.95,62.06,10.33,1.78,49.92,27.2,85.4,74.17,Moderada
2015,2,2015-02-01,Norte,TO,Palmas,36.15,72.62,31.43,0.97,41.41,24.2,91.2,70.48,Moderada
2015,2,2015-02-01,Nordeste,BA,Salvador,20.27,74.05,27.39,0.94,34.61,25.7,53.7,54.61,Moderada
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,23.57,60.21,34.79,0.43,44.24,27.5,59.2,52.81,Moderada
2015,2,2015-02-01,Nordeste,PE,Recife,27.48,58.49,36.47,0.49,52.79,22.6,42.9,57.7,Moderada
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,48.63,43.67,38.5,1.11,49.67,21.2,71.4,78.17,Moderada
2015,2,2015-02-01,Nordeste,CE,Fortaleza,46.1,47.81,16.25,0.97,46.99,23.7,74.9,69.99,Moderada
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,39.67,66.28,17.65,1.62,32.36,23.7,42.7,72.86,Moderada
2015,2,2015-02-01,Nordeste,MA,São Luís,42.43,95.35,26.18,0.45,29.83,23.6,55.9,75.13,Moderada
2015,2,2015-02-01,Nordeste,PB,João Pessoa,44.93,60.5,38.64,0.37,44.1,20.8,83.2,72.61,Moderada
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,34.72,77.26,15.64,0.67,40.28,26.3,70.1,63.86,Moderada
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,33.09,75.1,21.96,1.21,45.78,17.0,46.8,68.32,Moderada
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,38.9,78.53,24.96,0.59,41.31,25.3,48.9,69.75,Moderada
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,34.92,61.09,13.0,0.69,30.42,19.8,62.8,58.54,Moderada
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,48.99,3.0,20.2,0.35,43.86,21.3,81.5,57.08,Moderada
2015,2,2015-02-01,Sudeste,SP,São Paulo,35.57,68.93,30.25,1.16,45.68,27.9,78.8,70.63,Moderada
2015,2,2015-02-01,Sudeste,SP,Campinas,41.41,73.35,23.82,1.53,56.53,28.4,88.6,79.48,Moderada
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,40.75,62.37,19.21,1.51,35.14,28.8,67.1,72.63,Moderada
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,31.37,85.12,29.35,0.91,33.76,28.6,78.1,67.48,Moderada
2015,2,2015-02-01,Sudeste,RJ,Niterói,40.24,73.42,20.42,1.49,41.88,22.8,64.2,75.77,Moderada
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,34.8,54.47,24.32,1.76,40.96,24.3,94.5,69.19,Moderada
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,34.21,56.66,29.82,0.82,24.61,24.7,90.4,61.38,Moderada
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,39.64,80.67,22.21,1.08,40.94,21.4,76.3,74.15,Moderada
2015,2,2015-02-01,Sudeste,MG,Uberlândia,41.2,81.09,15.26,1.38,22.87,29.4,60.2,74.48,Moderada
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,52.53,51.88,21.15,1.11,26.6,30.1,81.1,77.08,Moderada
2015,2,2015-02-01,Sudeste,ES,Vitória,23.2,71.0,11.18,0.56,26.46,25.8,42.6,48.52,Boa
2015,2,2015-02-01,Sudeste,ES,Vila Velha,45.22,100.19,20.86,1.08,49.94,32.1,67.9,84.6,Ruim
2015,2,2015-02-01,Sudeste,ES,Serra,31.27,74.78,23.39,1.67,38.54,29.9,82.9,69.88,Moderada
2015,2,2015-02-01,Sul,PR,Curitiba,27.25,56.16,35.4,0.46,56.53,31.4,40.8,56.78,Moderada
2015,2,2015-02-01,Sul,PR,Londrina,31.88,62.54,21.34,1.16,52.62,30.1,90.4,64.19,Moderada
2015,2,2015-02-01,Sul,SC,Florianópolis,30.4,102.41,26.78,0.97,46.94,23.9,71.8,72.08,Moderada
2015,2,2015-02-01,Sul,SC,Joinville,33.63,50.57,31.12,0.49,35.76,25.6,67.6,58.17,Moderada
2015,2,2015-02-01,Sul,RS,Porto Alegre,24.18,42.32,31.33,1.06,18.77,20.3,71.7,50.5,Moderada
2015,2,2015-02-01,Sul,RS,Caxias do Sul,32.63,84.67,30.93,1.73,35.7,26.4,73.3,75.71,Moderada
2015,3,2015-03-01,Norte,AM,Manaus,23.96,61.95,40.61,1.53,42.15,23.7,46.9,63.69,Moderada
2015,3,2015-03-01,Norte,PA,Belém,20.09,44.48,32.12,1.44,42.26,31.8,82.2,52.98,Moderada
2015,3,2015-03-01,Norte,PA,Santarém,19.81,71.74,52.78,1.47,34.97,19.6,75.1,64.22,Moderada
2015,3,2015-03-01,Norte,RO,Porto Velho,44.8,82.06,42.14,1.78,43.3,25.2,58.3,89.91,Ruim
2015,3,2015-03-01,Norte,TO,Palmas,32.27,35.54,29.37,1.57,34.28,25.7,65.1,61.25,Moderada
2015,3,2015-03-01,Nordeste,BA,Salvador,38.43,42.32,17.19,1.15,32.59,23.8,89.8,61.95,Moderada
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,16.59,48.78,16.89,0.62,35.99,22.6,60.3,39.89,Boa
2015,3,2015-03-01,Nordeste,PE,Recife,39.91,64.42,24.01,1.06,38.06,23.9,84.6,70.34,Moderada
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,37.22,66.23,21.64,0.33,33.84,24.6,43.1,61.46,Moderada
2015,3,2015-03-01,Nordeste,CE,Fortaleza,41.93,52.41,30.85,0.74,49.93,23.4,89.1,69.43,Moderada
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,37.52,86.45,17.56,0.61,29.29,24.2,83.6,67.61,Moderada
2015,3,2015-03-01,Nordeste,MA,São Luís,34.42,76.0,29.13,1.62,41.32,26.3,49.1,74.32,Moderada
2015,3,2015-03-01,Nordeste,PB,João Pessoa,26.05,93.97,16.17,0.4,56.38,26.3,74.6,59.85,Moderada
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,15.48,74.43,21.78,0.37,30.65,30.1,56.3,44.04,Boa
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,41.9,56.87,31.73,1.48,35.02,25.1,82.7,75.23,Moderada
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,35.92,75.07,23.0,0.94,31.7,23.9,56.5,67.55,Moderada
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,36.91,34.31,25.96,1.27,34.59,25.3,64.7,61.88,Moderada
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,43.22,42.25,41.46,1.3,15.07,25.3,53.1,71.75,Moderada
2015,3,2015-03-01,Sudeste,SP,São Paulo,29.56,69.77,22.45,1.37,51.35,28.2,85.9,65.71,Moderada
2015,3,2015-03-01,Sudeste,SP,Campinas,38.15,75.72,12.34,1.62,60.22,25.3,65.3,75.36,Moderada
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,35.03,57.98,22.64,0.81,43.5,29.3,80.9,62.53,Moderada
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,29.54,66.24,36.41,1.3,51.57,27.5,85.7,67.8,Moderada
2015,3,2015-03-01,Sudeste,RJ,Niterói,41.46,52.32,18.16,0.84,30.52,30.0,46.5,64.7,Moderada
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,37.69,87.3,23.7,0.86,54.81,27.6,63.3,74.0,Moderada
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,21.79,58.37,23.39,0.85,40.15,30.3,86.9,50.87,Moderada
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,26.41,85.66,19.37,1.7,40.91,25.9,69.2,67.68,Moderada
2015,3,2015-03-01,Sudeste,MG,Uberlândia,36.18,77.23,12.54,1.09,45.3,24.6,41.9,68.26,Moderada
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,40.16,85.71,13.76,0.64,33.26,23.6,42.1,69.45,Moderada
2015,3,2015-03-01,Sudeste,ES,Vitória,36.86,52.69,29.88,1.05,42.39,26.0,46.6,66.45,Moderada
2015,3,2015-03-01,Sudeste,ES,Vila Velha,41.16,72.77,39.72,0.84,33.51,27.1,62.8,75.23,Moderada
2015,3,2015-03-01,Sudeste,ES,Serra,35.92,76.26,30.54,0.52,48.12,25.5,41.3,68.0,Moderada
2015,3,2015-03-01,Sul,PR,Curitiba,33.31,46.57,22.91,0.96,33.37,24.1,71.8,58.34,Moderada
2015,3,2015-03-01,Sul,PR,Londrina,34.69,82.77,22.87,1.67,42.77,28.5,70.3,75.31,Moderada
2015,3,2015-03-01,Sul,SC,Florianópolis,46.22,87.88,33.23,1.06,24.99,24.2,45.7,82.86,Ruim
2015,3,2015-03-01,Sul,SC,Joinville,37.9,58.5,28.06,0.57,34.65,23.6,79.4,63.78,Moderada
2015,3,2015-03-01,Sul,RS,Porto Alegre,28.5,80.17,28.8,0.51,47.93,32.6,74.9,61.8,Moderada
2015,3,2015-03-01,Sul,RS,Caxias do Sul,37.68,57.66,36.11,1.04,42.75,30.0,54.1,69.94,Moderada
2015,4,2015-04-01,Norte,AM,Manaus,40.16,77.62,22.68,1.06,45.55,21.7,84.0,74.27,Moderada
2015,4,2015-04-01,Norte,PA,Belém,36.87,63.36,17.59,0.94,44.76,19.5,64.0,65.39,Moderada
2015,4,2015-04-01,Norte,PA,Santarém,35.28,102.76,25.62,0.87,33.01,23.8,82.9,74.1,Moderada
2015,4,2015-04-01,Norte,RO,Porto Velho,42.39,67.07,20.04,1.25,36.03,27.6,91.1,73.49,Moderada
2015,4,2015-04-01,Norte,TO,Palmas,52.51,57.14,27.97,1.52,44.52,22.9,81.9,85.12,Ruim
2015,4,2015-04-01,Nordeste,BA,Salvador,51.55,105.55,30.33,1.59,23.13,26.8,75.2,95.4,Ruim
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,33.33,74.61,22.81,0.84,44.07,26.6,51.2,65.48,Moderada
2015,4,2015-04-01,Nordeste,PE,Recife,52.54,58.81,29.77,1.2,43.63,25.6,77.3,83.4,Ruim
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,38.98,73.61,18.77,1.27,36.82,27.6,41.0,71.98,Moderada
2015,4,2015-04-01,Nordeste,CE,Fortaleza,27.41,98.68,30.85,1.52,60.45,23.4,43.6,75.24,Moderada
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,21.34,66.76,28.37,0.35,42.29,23.9,48.7,50.05,Moderada
2015,4,2015-04-01,Nordeste,MA,São Luís,41.0,33.85,32.44,0.42,28.44,29.5,93.4,59.7,Moderada
2015,4,2015-04-01,Nordeste,PB,João Pessoa,14.83,92.32,12.45,1.27,42.57,22.6,74.7,53.97,Moderada
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,38.44,99.2,37.74,1.47,46.02,28.1,94.4,85.2,Ruim
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,48.17,72.22,20.6,0.91,55.54,27.0,82.1,79.43,Moderada
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,25.84,59.8,17.57,1.35,50.95,27.4,48.4,58.47,Moderada
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,21.89,69.56,18.99,0.62,42.25,21.8,63.0,51.05,Moderada
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,30.3,94.55,19.32,1.18,22.8,29.8,79.4,67.43,Moderada
2015,4,2015-04-01,Sudeste,SP,São Paulo,25.39,76.64,29.93,0.7,49.79,21.7,81.5,60.1,Moderada
2015,4,2015-04-01,Sudeste,SP,Campinas,34.52,26.55,14.48,0.81,34.35,23.6,93.5,51.28,Moderada
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,20.49,81.95,30.91,1.21,49.55,26.5,79.3,61.32,Moderada
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,22.93,30.37,43.48,0.4,33.36,24.2,52.5,45.67,Boa
2015,4,2015-04-01,Sudeste,RJ,Niterói,12.54,50.96,21.95,0.34,39.62,20.8,79.1,36.21,Boa
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,42.73,96.41,26.33,1.39,36.8,26.9,46.2,83.93,Ruim
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,30.33,45.14,15.51,0.9,10.47,25.6,55.1,50.68,Moderada
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,39.81,81.64,21.43,1.7,27.2,23.2,44.9,77.95,Moderada
2015,4,2015-04-01,Sudeste,MG,Uberlândia,32.38,64.02,21.0,1.7,62.19,23.4,51.6,70.24,Moderada
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,18.09,35.03,15.61,1.27,33.54,24.3,54.3,42.48,Boa
2015,4,2015-04-01,Sudeste,ES,Vitória,18.72,72.32,19.89,0.92,47.83,30.1,79.9,52.04,Moderada
2015,4,2015-04-01,Sudeste,ES,Vila Velha,25.93,84.08,13.94,1.03,28.05,24.1,48.5,58.92,Moderada
2015,4,2015-04-01,Sudeste,ES,Serra,23.88,58.21,16.11,1.72,24.36,23.7,47.5,56.23,Moderada
2015,4,2015-04-01,Sul,PR,Curitiba,39.12,88.23,31.49,0.31,26.6,27.9,72.4,70.25,Moderada
2015,4,2015-04-01,Sul,PR,Londrina,27.26,94.97,19.56,1.35,29.33,26.0,80.9,66.93,Moderada
2015,4,2015-04-01,Sul,SC,Florianópolis,41.42,68.29,26.58,1.09,50.25,25.5,74.8,74.76,Moderada
2015,4,2015-04-01,Sul,SC,Joinville,34.03,93.3,16.88,1.7,50.3,29.3,58.9,76.79,Moderada
2015,4,2015-04-01,Sul,RS,Porto Alegre,27.43,66.65,21.75,1.09,31.29,26.3,89.5,58.62,Moderada
2015,4,2015-04-01,Sul,RS,Caxias do Sul,26.76,75.56,46.87,1.08,50.2,22.0,82.1,68.32,Moderada
2015,5,2015-05-01,Norte,AM,Manaus,30.52,94.29,26.0,0.49,43.65,27.2,59.2,65.87,Moderada
2015,5,2015-05-01,Norte,PA,Belém,35.14,53.25,25.79,1.28,49.13,24.5,93.0,66.5,Moderada
2015,5,2015-05-01,Norte,PA,Santarém,38.01,83.37,29.02,0.65,49.16,24.8,40.1,72.43,Moderada
2015,5,2015-05-01,Norte,RO,Porto Velho,24.75,69.55,31.78,0.92,38.23,23.9,65.5,58.78,Moderada
2015,5,2015-05-01,Norte,TO,Palmas,37.15,80.96,23.3,0.69,38.22,21.7,69.6,68.81,Moderada
2015,5,2015-05-01,Nordeste,BA,Salvador,33.74,85.75,23.83,0.85,37.03,24.1,71.3,68.3,Moderada
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,23.49,86.03,21.73,0.86,45.8,29.1,69.8,59.53,Moderada
2015,5,2015-05-01,Nordeste,PE,Recife,30.73,94.53,30.8,0.33,25.77,19.0,48.8,64.21,Moderada
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,32.2,50.66,37.12,1.03,43.53,16.6,88.8,63.55,Moderada
2015,5,2015-05-01,Nordeste,CE,Fortaleza,37.87,71.58,13.6,0.36,58.29,26.9,43.7,64.09,Moderada
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,28.32,75.45,24.25,0.82,41.09,28.0,72.2,61.04,Moderada
2015,5,2015-05-01,Nordeste,MA,São Luís,40.91,87.55,30.31,0.92,28.23,28.9,66.9,76.47,Moderada
2015,5,2015-05-01,Nordeste,PB,João Pessoa,37.84,24.65,33.95,1.1,28.05,20.4,45.8,60.3,Moderada
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,34.54,50.6,40.31,1.33,34.18,26.2,47.6,67.84,Moderada
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,47.56,103.03,27.8,0.49,31.09,27.7,62.1,82.52,Ruim
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,38.93,36.67,38.53,1.37,41.72,25.0,45.3,68.98,Moderada
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,25.94,53.4,21.15,1.13,51.62,21.4,63.8,56.21,Moderada
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,42.42,103.94,36.73,0.36,44.29,26.6,41.2,80.65,Ruim
2015,5,2015-05-01,Sudeste,SP,São Paulo,30.52,73.96,10.0,0.36,43.25,26.6,77.3,55.67,Moderada
2015,5,2015-05-01,Sudeste,SP,Campinas,52.41,76.46,15.54,1.72,30.39,30.1,60.8,86.95,Ruim
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,59.7,69.24,20.67,1.53,45.31,20.5,45.0,93.01,Ruim
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,41.19,75.85,25.97,1.45,51.82,22.9,68.0,79.3,Moderada
2015,5,2015-05-01,Sudeste,RJ,Niterói,46.45,41.88,19.82,0.42,47.79,22.4,69.8,65.38,Moderada
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,40.37,54.66,31.66,0.54,39.91,22.5,63.4,66.19,Moderada
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,28.82,88.33,23.97,0.75,36.94,31.0,93.7,63.72,Moderada
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,15.98,74.99,36.32,0.94,39.76,22.8,83.5,53.7,Moderada
2015,5,2015-05-01,Sudeste,MG,Uberlândia,40.63,78.35,30.02,0.56,31.53,23.6,54.2,71.31,Moderada
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,27.12,83.34,22.38,0.54,20.48,24.9,74.8,57.18,Moderada
2015,5,2015-05-01,Sudeste,ES,Vitória,23.16,70.72,17.64,0.58,32.57,26.4,74.4,50.81,Moderada
2015,5,2015-05-01,Sudeste,ES,Vila Velha,39.16,83.66,16.12,0.34,46.48,28.1,73.5,67.53,Moderada
2015,5,2015-05-01,Sudeste,ES,Serra,51.32,59.23,38.12,0.96,34.91,28.6,53.9,81.69,Ruim
2015,5,2015-05-01,Sul,PR,Curitiba,32.51,33.73,29.68,1.43,54.21,22.6,53.8,62.0,Moderada
2015,5,2015-05-01,Sul,PR,Londrina,28.1,80.06,34.55,0.62,29.31,28.9,72.8,61.84,Moderada
2015,5,2015-05-01,Sul,SC,Florianópolis,46.81,45.41,11.92,0.97,12.23,28.4,52.6,65.46,Moderada
2015,5,2015-05-01,Sul,SC,Joinville,39.81,121.82,26.5,1.36,34.8,26.9,45.0,87.3,Ruim
2015,5,2015-05-01,Sul,RS,Porto Alegre,39.75,92.76,33.19,1.64,37.52,25.2,42.1,84.11,Ruim
2015,5,2015-05-01,Sul,RS,Caxias do Sul,38.81,63.25,29.4,1.68,28.85,27.4,59.1,74.45,Moderada
2015,6,2015-06-01,Norte,AM,Manaus,19.61,91.86,24.58,1.35,30.75,23.5,93.9,60.64,Moderada
2015,6,2015-06-01,Norte,PA,Belém,34.97,69.52,40.17,1.19,44.0,22.0,63.7,72.78,Moderada
2015,6,2015-06-01,Norte,PA,Santarém,46.66,75.81,39.37,1.12,59.03,18.4,72.4,85.66,Ruim
2015,6,2015-06-01,Norte,RO,Porto Velho,25.03,29.37,44.95,0.66,27.69,27.3,67.4,49.15,Boa
2015,6,2015-06-01,Norte,TO,Palmas,22.38,64.19,26.74,1.52,34.06,29.2,54.1,58.42,Moderada
2015,6,2015-06-01,Nordeste,BA,Salvador,35.13,68.92,24.59,0.57,38.3,19.1,92.5,63.39,Moderada
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,29.44,97.81,14.96,1.53,31.98,20.5,43.5,70.14,Moderada
2015,6,2015-06-01,Nordeste,PE,Recife,39.37,90.71,7.66,1.45,41.78,25.4,75.5,75.81,Moderada
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,30.29,40.1,34.63,1.61,44.4,26.6,71.6,63.3,Moderada
2015,6,2015-06-01,Nordeste,CE,Fortaleza,28.18,69.98,29.65,0.46,36.57,22.3,70.3,57.59,Moderada
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,26.76,68.42,21.84,0.85,54.33,23.1,86.9,58.9,Moderada
2015,6,2015-06-01,Nordeste,MA,São Luís,30.29,46.25,29.05,1.54,47.13,29.5,58.5,63.13,Moderada
2015,6,2015-06-01,Nordeste,PB,João Pessoa,14.48,47.5,25.62,0.5,17.8,26.0,49.8,37.09,Boa
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,48.81,61.74,22.23,1.61,53.93,26.7,69.3,83.16,Ruim
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,53.38,57.94,28.94,1.23,38.65,23.5,80.8,83.5,Ruim
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,58.32,86.29,29.28,0.59,39.38,30.7,51.8,90.07,Ruim
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,35.37,58.33,26.24,0.33,56.83,23.8,88.6,61.29,Moderada
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,41.46,42.94,29.83,1.34,30.66,25.8,86.4,69.26,Moderada
2015,6,2015-06-01,Sudeste,SP,São Paulo,36.11,68.6,22.68,1.39,27.74,27.9,46.9,69.25,Moderada
2015,6,2015-06-01,Sudeste,SP,Campinas,30.62,120.62,19.29,1.71,37.67,24.0,56.7,80.01,Ruim
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,50.04,80.27,14.87,0.61,50.67,28.0,66.9,78.77,Moderada
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,23.87,104.26,31.22,1.61,49.56,24.9,65.3,73.19,Moderada
2015,6,2015-06-01,Sudeste,RJ,Niterói,28.04,68.4,37.8,0.95,30.48,25.3,49.3,62.43,Moderada
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,34.87,46.95,36.57,0.98,61.1,30.6,54.9,66.25,Moderada
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,35.58,73.7,26.33,1.05,56.25,27.2,60.8,71.06,Moderada
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,34.72,75.43,19.57,0.44,23.66,25.9,56.9,60.87,Moderada
2015,6,2015-06-01,Sudeste,MG,Uberlândia,40.6,50.39,24.55,0.88,29.16,28.5,44.7,65.25,Moderada
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,36.6,58.9,26.43,1.01,27.0,24.9,82.5,65.02,Moderada
